TCP 0.0% 1000kbit 32.744725881206534
TCP 0.0% 2000kbit 32.06140369483482
TCP 0.0% 3000kbit 31.780293530149088
TCP 0.0% 4000kbit 31.86795044993208
TCP 0.0% 5000kbit 31.795823868590837
TCP 0.5% 1000kbit 34.69546682408823
TCP 0.5% 2000kbit 33.888638177189286
TCP 0.5% 3000kbit 33.86252727360577
TCP 0.5% 4000kbit 33.31519682635242
TCP 0.5% 5000kbit 33.20932667079162
TCP 1.0% 1000kbit 36.05541934702178
TCP 1.0% 2000kbit 35.137027651517705
TCP 1.0% 3000kbit 35.39769190254665
TCP 1.0% 4000kbit 35.64323578155257
TCP 1.0% 5000kbit 35.49331030578643
TCP 1.5% 1000kbit 38.0771117726655
TCP 1.5% 2000kbit 37.97321905528685
TCP 1.5% 3000kbit 36.86795279813405
TCP 1.5% 4000kbit 37.57197658889456
TCP 1.5% 5000kbit 37.14739621450405
TCP 2.0% 1000kbit 40.739574683084214
TCP 2.0% 2000kbit 39.59003934993215
TCP 2.0% 3000kbit 39.71835486823795
TCP 2.0% 4000kbit 39.8467987943372
TCP 2.0% 5000kbit 41.26198795892731
TCP 2.5% 1000kbit 44.09201423989123
TCP 2.5% 2000kbit 43.0477587702495
TCP 2.5% 3000kbit 41.05417949192324
TCP 2.5% 4000kbit 42.96103306139749
TCP 2.5% 5000kbit 42.21049910905369
TCP 3.0% 1000kbit 46.81763134999145
TCP 3.0% 2000kbit 46.30155673125957
TCP 3.0% 3000kbit 43.85763499575329
TCP 3.0% 4000kbit 43.633044363296435
TCP 3.0% 5000kbit 44.103326029216824
TCP 3.5% 1000kbit 48.732207191381015
TCP 3.5% 2000kbit 46.30690252179823
TCP 3.5% 3000kbit 46.614910946189006
TCP 3.5% 4000kbit 46.618264065807395
TCP 3.5% 5000kbit 48.30625582753351
TCP 4.0% 1000kbit 51.01208413868625
TCP 4.0% 2000kbit 51.2776805416171
TCP 4.0% 3000kbit 48.64476929862406
TCP 4.0% 4000kbit 50.37615316964139
TCP 4.0% 5000kbit 48.182543071268455
TCP 4.5% 1000kbit 56.63582385673047
TCP 4.5% 2000kbit 51.618501271600735
TCP 4.5% 3000kbit 55.90466317428229
TCP 4.5% 4000kbit 52.280752371685864
TCP 4.5% 5000kbit 53.72849059446828
TCP 5.0% 1000kbit 60.37785830580066
TCP 5.0% 2000kbit 59.10106767209783
TCP 5.0% 3000kbit 62.137079224524314
TCP 5.0% 4000kbit 57.97444984004066
TCP 5.0% 5000kbit 56.4508932299591
